PNAD CONTÍNUA _ COD(CÓDIGO),PNAD CONTÍNUA _COD(TÍTULO),avg_teleworkable
7132,Lustradores,0
7211,Moldadores de metal e macheiros,0
7212,Soldadores e oxicortadores,0
7213,Chapistas e caldeireiros,0
7214,Montadores de estruturas metálicas,0
7215,Aparelhadores e emendadores de cabos,0
7221,Ferreiros e forjadores,0
7222,Ferramenteiros e afins,0
7223,Reguladores e operadores de máquinas-ferramentas,0
7224,Polidores de metais e afiadores de ferramentas,0
7231,Mecânicos e reparadores de veículos a motor,0
7232,Mecânicos e reparadores de motores de avião,0
7233,Mecânicos e reparadores de máquinas agrícolas e industriais,0
7234,Reparadores de bicicletas e afins,0
7311,Mecânicos e reparadores de instrumentos de precisão,0
7312,Confeccionadores e afinadores de instrumentos musicais,0
7313,"Joalheiros e lapidadores de gemas, artesãos de metais preciosos e semipreciosos",0.3333333333333333
7314,Ceramistas e afins (preparação e fabricação),0
7315,"Cortadores, polidores, jateadores e gravadores de vidros e afins",0
7316,"Redatores de cartazes, pintores decorativos e gravadores",0.5
7318,"Artesãos de tecidos, couros e materiais semelhantes",0
7321,Trabalhadores da pré-impressão gráfica,1
7322,Impressores,0
7323,Encadernadores e afins,0
7411,Eletricistas de obras e afins,0
7412,Mecânicos e ajustadores eletricistas,0
7413,Instaladores e reparadores de linhas elétricas,0
7421,Mecânicos e reparadores em eletrônica,0
7422,Instaladores e reparadores em tecnologias da informação e comunicações,0
7511,Magarefes e afins,0
7512,"Padeiros, confeiteiros e afins",0
7513,Trabalhadores da pasteurização do leite e fabricação de laticínios e afins,0
7514,"Trabalhadores da conservação de frutas, legumes e similares",0
7515,Trabalhadores da degustação e classificação de alimentos e bebidas,0
7516,Trabalhadores qualificados da preparação do fumo e seus produtos,0
7521,Trabalhadores de tratamento e preparação da madeira,0
7522,Marceneiros e afins,0
7523,Operadores de máquinas de lavrar madeira,0
7531,"Alfaiates, modistas, chapeleiros e peleteiros",0
7532,Trabalhadores qualificados da preparação da confecção de roupas,0.5
7533,"Costureiros, bordadeiros e afins",0
7534,"Tapeceiros, colchoeiros e afins",0
7541,Trabalhadores subaquáticos,0
7542,Dinamitadores e detonadores,0
7543,Classificadores e provadores de produtos (exceto de bebidas e alimentos),0
7544,Fumigadores e outros controladores de pragas e ervas daninhas,0
7549,Outros trabalhadores qualificados e operários da indústria e do artesanato não classificados anteriormente,1
8111,Mineiros e operadores de máquinas e de instalações em minas e pedreiras,0
8112,Operadores de instalações de processamento de minerais e rochas,0
8113,Perfuradores e sondadores de poços e afins,0
8114,"Operadores de máquinas para fabricar cimento, pedras e outros produtos minerais",0
8121,Operadores de instalações de processamento de metais,0
8122,"Operadores de máquinas polidoras, galvanizadoras e recobridoras de metais",0
8131,Operadores de instalações e máquinas de produtos químicos,0
8132,Operadores de máquinas para fabricar produtos fotográficos,0
8141,Operadores de máquinas para fabricar produtos de borracha,0
8142,Operadores de máquinas para fabricar produtos de material plástico,0
8143,Operadores de máquinas para fabricar produtos de papel,0
8151,"Operadores de máquinas de preparação de fibras, fiação e bobinamento de fios",0
8152,Operadores de teares e outras máquinas de tecelagem,0
8153,Operadores de máquinas de costura,0
8154,"Operadores de máquinas de branqueamento, tingimento e limpeza de tecidos",0
8156,Operadores de máquinas para fabricação de calçados e afins,0
8157,"Operadores de máquinas de lavar, tingir e passar roupas",0
8160,Operadores de máquinas para elaborar alimentos e produtos afins,0
8172,Operadores de instalações para processamento de madeira,0
8181,Operadores de instalações de vidraria e cerâmica,0
8182,Operadores de máquinas de vapor e caldeiras,0
8183,"Operadores de máquinas de embalagem, engarrafamento e etiquetagem",0
8189,Operadores de máquinas e de instalações fixas não classificados anteriormente,0
8211,Mecânicos montadores de maquinaria mecânica,0
8212,Montadores de equipamentos elétricos e eletrônicos,0
8219,Montadores não classificados anteriormente,0
8311,Maquinistas de locomotivas,0
8312,Guarda-freios e agentes de manobras,0
8322,"Condutores de automóveis, taxis e caminhonetes",0
8331,Condutores de ônibus e bondes,0
8332,Condutores de caminhões pesados,0
8342,Operadores de máquinas de movimentação de terras e afins,0
8343,"Operadores de guindastes, gruas, aparatos de elevação e afins",0
8344,Operadores de empilhadeiras,0
8350,Marinheiros de coberta e afins,0
9111,Trabalhadores dos serviços domésticos em geral,0
9112,"Trabalhadores de limpeza de interior de edifícios, escritórios, hotéis e outros estabelecimentos",0
9121,Lavadeiros de roupas e passadeiros manuais,0
9129,Outros trabalhadores de limpeza,0
9211,Trabalhadores elementares da agricultura,0
9212,Trabalhadores elementares da pecuária,0
9214,Trabalhadores elementares da jardinagem e horticultura,0
9215,Trabalhadores florestais elementares,0
9216,Trabalhadores elementares da pesca e aquicultura,0
9311,Trabalhadores elementares de minas e pedreiras,0
9312,"Trabalhadores elementares de obras públicas e da manutenção de estradas, represas e similares",0
9313,Trabalhadores elementares da construção de edifícios,0
9321,empacotadores manuais,0
9329,Trabalhadores elementares da indústria de transformação não classificados anteriormente,0
9333,Carregadores,0.25
9411,Preparadores de comidas rápidas,0
9412,Ajudantes de cozinha,0
9611,Coletores de lixo e material reciclável,0
9621,"Mensageiros, carregadores de bagagens e entregadores de encomendas",0
9622,Pessoas que realizam várias tarefas,0
9623,Coletores de dinheiro em máquinas automáticas de venda e leitores de medidores,0.5
9629,Outras ocupações elementares não classificadas anteriormente,0.25
